P_NAME,HOST_NAME,DISCOVERY_METHOD,P_PERIOD,P_SEMI_MAJOR_AXIS,P_RADIUS,P_MASS,P_DENSITY,P_ECCENTRICITY,P_TEMP_EQUIL,P_INCLINATION,S_TEMPERATURE,S_RADIUS,S_MASS
HD 3167 e,HD 3167,Radial Velocity,102.09,0.4048,,,,0.6,375,,5300,0.87,0.85
HD 3167 e,HD 3167,Radial Velocity,96.63,0.3885,,,,0.15,,,5261,0.88,0.84
HD 32518 b,HD 32518,Radial Velocity,157.35,0.594,,,,0.028,,,4580,10.22,1.13
HD 32518 b,HD 32518,Radial Velocity,157.54,0.59,,,,0.01,,,4580,10.22,1.13
HD 32963 b,HD 32963,Radial Velocity,2328,3.416,,,,0.069,,,5706.08,1.11,0.98
HD 32963 b,HD 32963,Radial Velocity,2368,3.409,,657.9048,,0.099,,19.3,5727,,1.03
HD 32963 b,HD 32963,Radial Velocity,2372,3.41,,,,0.07,,,5727,,0.94
HD 330075 b,HD 330075,Radial Velocity,3.38773,0.04,,,,0,,,5000,0.84,0.47
HD 330075 b,HD 330075,Radial Velocity,3.38773,0.039,,,,0,990,,5017,,0.7
HD 331093 b,HD 331093,Radial Velocity,621.62,1.44,,,,0.59,,0.37,5544,,1.03
HD 33142 b,HD 33142,Radial Velocity,326,1.07,,,,0.066,,,4978,4.45,1.41
HD 33142 b,HD 33142,Radial Velocity,326.60001,1.09,,,,0.12,,,5009,3.97,1.78
HD 33142 b,HD 33142,Radial Velocity,330,1.074,,,,0.049,,,5025.4,4.17,1.52
HD 33142 b,HD 33142,Radial Velocity,326.6,1.06,,,,0.12,,,5052,4.2,1.48
HD 33142 c,HD 33142,Radial Velocity,810.2,1.955,,,,0.081,,,5025.4,4.17,1.52
HD 33142 c,HD 33142,Radial Velocity,834,,,,,0.05,,,,,1.62
HD 33142 d,HD 33142,Radial Velocity,89.9,0.452,,,,0.191,,,5025.4,4.17,1.52
HD 332231 b,HD 332231,Transit,18.7120712,,,,,0.032,,89.68,6089,1.28,1.13
HD 332231 b,HD 332231,Transit,18.7118184,,10.577,,,,995,,6125,1.27,
HD 332231 b,HD 332231,Transit,18.71204,0.1436,9.718,77.55052,0.464,0.032,876,89.68,6089,1.28,1.13
HD 332231 b,HD 332231,Transit,18.71204,,,,,,,,6089,1.28,1.13
HD 33283 b,HD 33283,Radial Velocity,18.179,0.15,,,,0.48,,,6108,1.74,1.47
HD 33283 b,HD 33283,Radial Velocity,18.179,0.145,,,,0.48,,,5995,1.2,1.24
HD 33283 b,HD 33283,Radial Velocity,18.1991,0.1508,,,,0.399,,,5935,1.97,1.38
HD 33564 b,HD 33564,Radial Velocity,388,1.1,,,,0.34,,,6250,,1.25
HD 33844 b,HD 33844,Radial Velocity,551.40002,1.6,,,,0.15,,,4861,5.39,1.84
HD 33844 b,HD 33844,Radial Velocity,551.4,1.6,,,,0.15,,,4861,5.29,1.78
HD 33844 c,HD 33844,Radial Velocity,916,2.24,,,,0.13,,,4861,5.29,1.78
HD 34445 b,HD 34445,Radial Velocity,1049,2.07,,,,0.27,,,5879,1.38,1.14
HD 34445 b,HD 34445,Radial Velocity,1059,2.105,,,,0.103,,,5829.49,1.48,1.11
HD 34445 b,HD 34445,Radial Velocity,1056.7,2.075,,,,0.014,,,5836,1.38,1.07
HD 34445 b,HD 34445,Radial Velocity,1049,2.07,,,,0.27,,,5836,1.38,1.07
HD 34445 c,HD 34445,Radial Velocity,214.67,0.7181,,,,0.036,,,5836,1.38,1.07
HD 34445 d,HD 34445,Radial Velocity,117.87,0.4817,,,,0.027,,,5836,1.38,1.07
HD 34445 e,HD 34445,Radial Velocity,49.175,0.2687,,,,0.09,,,5836,1.38,1.07
HD 34445 f,HD 34445,Radial Velocity,676.8,1.543,,,,0.031,,,5836,1.38,1.07
HD 34445 g,HD 34445,Radial Velocity,5700,6.36,,,,0.032,,,5836,1.38,1.07
HD 35759 b,HD 35759,Radial Velocity,82.467,0.389,,,,0.389,,,6060,,1.15
HD 360 b,HD 360,Radial Velocity,273.1,0.98,,,,0.139,,,4770,10.86,1.69
HD 36384 b,HD 36384,Radial Velocity,490,1.3,,,,0.2,,,3940,38.4,1.14
HD 3651 b,HD 3651,Radial Velocity,62.25,0.295,,,,0.645,,,5221,,0.8
HD 3651 b,HD 3651,Radial Velocity,62.206,0.296,,,,0.618,,,5274.92,0.87,0.9
HD 3651 b,HD 3651,Radial Velocity,62.242,0.2955,,,,0.614,,,5205.95,0.87,0.89
HD 3651 b,HD 3651,Radial Velocity,62.197,0.28,,,,0.63,,,5274.92,0.87,0.9
HD 3651 b,HD 3651,Radial Velocity,62.218,0.295,,,,0.596,,,5221,,0.88
HD 37124 b,HD 37124,Radial Velocity,154.378,0.53364,,,,0.054,,,,,0.85
HD 37124 b,HD 37124,Radial Velocity,,0.519,,,,0.079,,,,,0.78
HD 37124 b,HD 37124,Radial Velocity,154.26,0.5253,,,,0.05,,,5698.64,0.95,0.81
HD 37124 b,HD 37124,Radial Velocity,154.46,0.53,,,,0.055,,,,,0.78
HD 37124 b,HD 37124,Radial Velocity,153,0.54,,,,0.1,,,,,0.91
HD 37124 c,HD 37124,Radial Velocity,843.6,1.64,,,,0.14,,,,,0.78
HD 37124 c,HD 37124,Radial Velocity,887.7,1.687,,,,0.126,,,5698.64,0.95,0.81
HD 37124 c,HD 37124,Radial Velocity,1942,2.95,,,,0.4,,,,,0.91
HD 37124 c,HD 37124,Radial Velocity,,1.61,,,,0.15,,,,,0.78
HD 37124 c,HD 37124,Radial Velocity,885.5,1.71,,,,0.125,,,,,0.85
HD 37124 d,HD 37124,Radial Velocity,1862,2.807,,,,0.16,,,,,0.85
HD 37124 d,HD 37124,Radial Velocity,,3.142,,,,0.297,,,,,0.78
HD 37124 d,HD 37124,Radial Velocity,2295,3.19,,,,0.2,,,,,0.78
HD 37124 d,HD 37124,Radial Velocity,1768,2.671,,,,0.16,,,5698.64,0.95,0.81
HD 37605 b,HD 37605,Radial Velocity,55.01307,0.2831,,,,0.6767,,,5448,0.9,1
HD 37605 b,HD 37605,Radial Velocity,54.21,,,,,0.7342,,,5329,0.98,0.92
HD 37605 b,HD 37605,Radial Velocity,55.027,0.263,,,,0.677,,,5329,0.98,0.92
HD 37605 b,HD 37605,Radial Velocity,55.01307,0.28,,,,0.68,,,5340,0.95,0.68
HD 37605 b,HD 37605,Radial Velocity,54.23,0.26,,,,0.737,,,5475,,
HD 37605 b,HD 37605,Radial Velocity,55.01292,0.277,,,,0.6745,,,5329,0.91,0.94
HD 37605 c,HD 37605,Radial Velocity,2720,3.814,,,,0.013,,,5448,0.9,1
HD 37605 c,HD 37605,Radial Velocity,2455,,,,,0,,,,,1
HD 37605 c,HD 37605,Radial Velocity,2720,3.74,,,,0.03,,,5329,0.91,0.94
HD 3765 b,HD 3765,Radial Velocity,1211,2.108,,,,0.298,,,5049.8,0.83,0.85
HD 38283 b,HD 38283,Radial Velocity,363.2,1.02,,,,0.41,,,5998,,1.08
HD 38283 b,HD 38283,Radial Velocity,363.20001,1.02,,,,0.41,,,5981,1.49,1.37
HD 38529 b,HD 38529,Radial Velocity,14.3099,0.115,,,,0.256,,,,,0.98
HD 38529 b,HD 38529,Radial Velocity,14.32,0.13,,,,0.27,,,5370,2.82,1.39
HD 38529 b,HD 38529,Radial Velocity,14.30944,0.1294,,,,0.28,,,5541,2.56,1.41
HD 38529 b,HD 38529,Radial Velocity,14.31014,0.1329,,,,0.26,,,5624.21,2.86,1.53
HD 38529 b,HD 38529,Radial Velocity,14.3102,0.1313,,,,0.244,,,5541,2.84,0.98
HD 38529 b,HD 38529,Radial Velocity,14.3093,0.1313,,,,0.248,,,5541,2.84,0.98
HD 38529 b,HD 38529,Radial Velocity,14.3098,0.131,,,,0.257,,,5697,,1.48
HD 38529 c,HD 38529,Radial Velocity,2127.60566,3.226,,3299.05886,,0.357,,104.559,,,0.98
HD 38529 c,HD 38529,Radial Velocity,2165,3.74,,,,0.3506,,,5541,2.84,0.98
HD 38529 c,HD 38529,Radial Velocity,2132.4,,,,,0.342,,,,,1.34
HD 38529 c,HD 38529,Radial Velocity,2133.3,3.7365,,,,0.3545,,,5624.21,2.86,1.53
HD 38529 c,HD 38529,Radial Velocity,2136.1,3.64,,,,0.3407,,,5541,2.56,1.41
HD 38529 c,HD 38529,Radial Velocity,2146.1,3.72,,,,0.3551,,,5541,2.84,0.98
HD 38529 c,HD 38529,Radial Velocity,2140.2,3.712,,,,0.341,,,5697,,1.48
HD 38801 b,HD 38801,Radial Velocity,685.25,1.623,,,,0.017,,,5338,2.03,1.21
HD 38801 b,HD 38801,Radial Velocity,696.29999,1.65,,,,0,,,5277,2.38,1.64
HD 38801 b,HD 38801,Radial Velocity,686.8,1.66,,,,0.059,,,5207,2.41,1.29
HD 38801 b,HD 38801,Radial Velocity,687.14,1.66,,,,0.0572,,,5207,2.41,1.29
HD 38801 b,HD 38801,Radial Velocity,696.3,1.7,,,,0,,,5222,2.53,1.36
HD 39091 b,HD 39091,Radial Velocity,2088.33,,,4004.63793,,0.6396,,51.2,5998,1.19,1.07
HD 39091 b,HD 39091,Radial Velocity,2090.3,,,4100.007,,0.644,,51.2,,,1.09
HD 39091 b,HD 39091,Radial Velocity,2091,3.308,,4099.98645,,0.641,,50.8,6037,1.1,1.09
HD 39091 b,HD 39091,Radial Velocity,2088.75851,3.311,,3917.23512,,0.642,,54.436,,,1.1
HD 39091 b,HD 39091,Radial Velocity,2049,3.28,,,,0.61,,,,,1.1
HD 39091 b,HD 39091,Radial Velocity,2091.2,3.22,,,,0.6394,,,5870,1.1,1.02
HD 39091 b,HD 39091,Radial Velocity,2151,3.38,,,,0.6405,,,5950,,1.1
HD 39091 b,HD 39091,Radial Velocity,2093.07,3.1,,,,0.637,,,6037,1.1,1.09
HD 39194 b,HD 39194,Radial Velocity,5.6368,0.056,,,,0.207,,,5205,,0.67
HD 39194 c,HD 39194,Radial Velocity,14.03,0.103,,,,0.154,,,5205,,0.67
HD 39194 d,HD 39194,Radial Velocity,33.91,0.185,,,,0.333,,,5205,,0.67
HD 39855 b,HD 39855,Radial Velocity,3.2498,0.041,,,,0.14,,,5576,,0.87
HD 40307 b,HD 40307,Radial Velocity,4.3115,0.0475,,,,0.168,,,4977,,0.77
HD 40307 b,HD 40307,Radial Velocity,4.3123,0.047524,,,,0.1964,910,,4867.44,0.72,0.79
HD 40307 b,HD 40307,Radial Velocity,4.3123,0.0468,,,,0.2,,,4956,,0.77
HD 40307 c,HD 40307,Radial Velocity,9.6207,0.0812,,,,0.103,,,4977,,0.77
HD 40307 c,HD 40307,Radial Velocity,9.6183,0.08113,,,,0.05777,696,,4867.44,0.72,0.79
HD 40307 c,HD 40307,Radial Velocity,9.6184,0.0799,,,,0.06,,,4956,,0.77
HD 40307 d,HD 40307,Radial Velocity,20.4321,0.13407,,,,0.06728,541,,4867.44,0.72,0.79
HD 40307 d,HD 40307,Radial Velocity,20.4185,0.134,,,,0.122,,,4977,,0.77
HD 40307 d,HD 40307,Radial Velocity,20.432,0.1321,,,,0.07,,,4956,,0.77
HD 40307 f,HD 40307,Radial Velocity,51.76,0.247,,,,0.02,,,4956,,0.77
HD 40307 f,HD 40307,Radial Velocity,51.7768,0.2491,,,,0.06175,398,,4867.44,0.72,0.79
HD 40307 f,HD 40307,Radial Velocity,51.56,0.2485,,,,0.352,,,4977,,0.77
HD 40307 g,HD 40307,Radial Velocity,196.343,0.6069,,,,0.2205,255,,4867.44,0.72,0.79
HD 40307 g,HD 40307,Radial Velocity,197.8,0.6,,,,0.29,,,4956,,0.77
HD 40956 b,HD 40956,Radial Velocity,578.6,1.4,,,,0.24,,,4869,8.56,2
HD 40979 b,HD 40979,Radial Velocity,264.15,0.846,,,,0.252,,,6089,,1.15
HD 40979 b,HD 40979,Radial Velocity,264.14999,0.85,,,,0.25,,,6165,1.21,1.45
HD 40979 b,HD 40979,Radial Velocity,265.36,0.8669,,,,0.251,,,6149.73,1.24,1.23
HD 40979 b,HD 40979,Radial Velocity,263.84,0.855,,,,0.269,,,6139,1.24,1.16
HD 41004 A b,HD 41004 A,Radial Velocity,963,,,,,0.74,,,,,
HD 41004 B b,HD 41004 B,Radial Velocity,1.328199,,,,,0.065,,,,,
HD 41004 B b,HD 41004 B,Radial Velocity,1.3283,,,,,0.081,,,,,0.4
HD 4113 b,HD 4113,Radial Velocity,526.5239,1.28,,,,0.899,,,,,1.01
HD 4113 b,HD 4113,Radial Velocity,526.62,1.28,,,,0.903,,,5688,,0.99
HD 42012 b,HD 42012,Radial Velocity,857.5,1.67,,,,0.2,,,5405,0.82,0.83
HD 4203 b,HD 4203,Radial Velocity,437.18,1.177,,,,0.513,,,5625.06,1.5,1.14
HD 4203 b,HD 4203,Radial Velocity,431.88,1.164,,,,0.519,,,5702,,1.13
HD 4203 b,HD 4203,Radial Velocity,431.88,1.17,,,,0.52,,,5596,1.42,1.25
HD 4203 b,HD 4203,Radial Velocity,406,1.1,,,,0.53,,,,,1.06
HD 4203 b,HD 4203,Radial Velocity,437.05,1.1735,,,,0.52,,,5582,1.5,0.99
HD 4203 c,HD 4203,Radial Velocity,7400,7.8,,,,0.19,,,5625.06,1.5,1.14
HD 4203 c,HD 4203,Radial Velocity,6700,6.95,,,,0.24,,,5582,1.5,0.99
HD 4203 c,HD 4203,Radial Velocity,7053,,,,,0.182,,,,,1.13
HD 4208 b,HD 4208,Radial Velocity,828,1.65,,,,0.052,,,5600,,0.87
HD 4208 b,HD 4208,Radial Velocity,832.97,1.662,,,,0.042,,,5717,0.85,0.88
HD 4208 b,HD 4208,Radial Velocity,829.5,1.634,,,,0.059,,,5669.81,0.94,0.85
HD 4208 b,HD 4208,Radial Velocity,828,1.65,,,,0.05,,,5629,0.92,0.9
HD 4208 b,HD 4208,Radial Velocity,829,1.7,,,,0.04,,,,,0.93
HD 42618 b,HD 42618,Radial Velocity,149.61,0.554,,,,0.19,337,,5727,1,1.01
HD 42618 b,HD 42618,Radial Velocity,148.49,0.5337,,,,0.27,,,5716.65,0.99,0.92
HD 4308 b,HD 4308,Radial Velocity,15.56,0.115,,,,0,,,5685,,0.83
HD 4308 b,HD 4308,Radial Velocity,15.56,0.12,,,,0,,,5686,1.02,0.93
HD 4313 b,HD 4313,Radial Velocity,356,1.13,,,,0.04,,,5005,4.91,2.47
HD 4313 b,HD 4313,Radial Velocity,356,1.19,,,,0.041,,,5035,4.9,1.72
HD 4313 b,HD 4313,Radial Velocity,356.21,1.157,,,,0.147,,,4943,5.14,1.63
HD 43197 b,HD 43197,Radial Velocity,327.8,0.92,,,,0.83,,,5508,1,0.96
HD 43197 b,HD 43197,Radial Velocity,308.92072,0.882,,,,0.742,,,,,0.96
HD 43197 c,HD 43197,Radial Velocity,9295.9735,8.54,,2500.67391,,0.149,,11.42,,,0.96
HD 43691 b,HD 43691,Radial Velocity,36.96,0.24,,,,0.14,,,6200,,1.38
HD 43691 b,HD 43691,Radial Velocity,36.9987,0.238,,,,0.0796,,,6093,1.6,1.32
HD 44219 b,HD 44219,Radial Velocity,472,1.26,,184.34048,,0.41,,90,,,1.2
HD 44219 b,HD 44219,Radial Velocity,472.3,1.19,,,,0.61,,,5752,1.32,1
HD 45184 b,HD 45184,Radial Velocity,5.8854,0.0644,,,,0.07,,,5869,,1.03
HD 45184 b,HD 45184,Radial Velocity,5.8858,0.0641,,,,0.18,,,5820.13,1.08,1.01
HD 45184 c,HD 45184,Radial Velocity,13.1407,0.1095,,,,0.48,,,5820.13,1.08,1.01
HD 45184 c,HD 45184,Radial Velocity,13.1354,0.11,,,,0.07,,,5869,,1.03
HD 45350 b,HD 45350,Radial Velocity,963.6,1.92,,,,0.778,,,5566,1.26,0.98
HD 45350 b,HD 45350,Radial Velocity,978.19,1.958,,,,0.794,,,5607.78,1.26,1.05
HD 45350 b,HD 45350,Radial Velocity,962.1,1.92,,,,0.764,,,,,1.02
HD 45350 b,HD 45350,Radial Velocity,890.76,1.77,,,,0.78,,,5616,,1.02
HD 45364 b,HD 45364,Radial Velocity,226.93,0.6813,,,,0.1684,,,5434,,0.82
HD 45364 b,HD 45364,Radial Velocity,225.79,0.6793,,,,0.067,,,5466,0.89,0.82
HD 45364 c,HD 45364,Radial Velocity,342.85,0.8972,,,,0.0974,,,5434,,0.82
HD 45364 c,HD 45364,Radial Velocity,345.43,0.902,,,,0.019,,,5466,0.89,0.82
HD 45652 b,HD 45652,Radial Velocity,44.073,0.237,,,,0.607,,,5294,0.94,0.92
HD 45652 b,HD 45652,Radial Velocity,43.6,0.23,,,,0.38,,,5232,0.96,0.54
HD 45652 b,HD 45652,Radial Velocity,43.6,0.23,,,,0.38,,,5312,,0.83
HD 457 b,HD 457,Radial Velocity,20324.58153,15.369,,8445.33643,,0.565,,62.585,,,1.15
HD 46375 b,HD 46375,Radial Velocity,3.024,0.041,,,,0.04,,,,,1
HD 46375 b,HD 46375,Radial Velocity,3.023495,0.03998,,,,0.063,,,5264.38,0.91,0.93
HD 46375 b,HD 46375,Radial Velocity,3.023573,0.0398,,,,0.063,,,5285,,0.92
HD 47186 b,HD 47186,Radial Velocity,4.0845,0.05,,,,0.04,,,5657,1.08,0.96
HD 47186 b,HD 47186,Radial Velocity,4.0845,0.05,,,,0.038,,,,,
HD 47186 c,HD 47186,Radial Velocity,1353.6,2.395,,,,0.249,,,,,
HD 4732 b,HD 4732,Radial Velocity,360.2,1.19,,,,0.13,,,4959,5.4,1.74
HD 4732 b,HD 4732,Radial Velocity,371.74,1.129,,,,0.266,,,4898,5.03,1.39
HD 4732 c,HD 4732,Radial Velocity,3184.2,4.725,,,,0.187,,,4898,5.03,1.39
HD 4732 c,HD 4732,Radial Velocity,2732,4.6,,,,0.23,,,4959,5.4,1.74
HD 47366 b,HD 47366,Radial Velocity,363.3,1.214,,,,0.089,,,4866,7.3,1.81
HD 47366 b,HD 47366,Radial Velocity,360.08,1.207,,,,0.071,,,4866,7.3,1.81
HD 47366 b,HD 47366,Radial Velocity,359.15,1.28,,,,0.06,,,4914,6.2,2.19
HD 47366 c,HD 47366,Radial Velocity,677.53,1.84,,,,0.161,,,4866,7.3,1.81
HD 47366 c,HD 47366,Radial Velocity,684.7,1.853,,,,0.278,,,4866,7.3,1.81
HD 47366 c,HD 47366,Radial Velocity,682.85,1.97,,,,0.1,,,4914,6.2,2.19
HD 47536 b,HD 47536,Radial Velocity,712.13,1.93,,,,0.2,,,4380,23.47,2.1
HD 47536 b,HD 47536,Radial Velocity,434.9,1.12,,,,0.3,,,,,0.98
HD 4760 b,HD 4760,Radial Velocity,434,1.14,,,,0.23,,,4076,42.4,1.05
HD 48265 b,HD 48265,Radial Velocity,778.51,1.814,,,,0.211,,,5733,1.9,1.31
HD 48265 b,HD 48265,Radial Velocity,762,1.6,,,,0.24,,,,,0.93
HD 48265 b,HD 48265,Radial Velocity,780.3,1.81,,,,0.08,,,5650,2.05,1.28
HD 4917 b,HD 4917,Radial Velocity,400.5,1.167,,,,0.066,,,4802,5.01,1.32
HD 49674 b,HD 49674,Radial Velocity,4.9437,0.058,,,,0.29,,,5583,1.04,0.99
HD 49674 b,HD 49674,Radial Velocity,4.94724,0.058,,,,0.06,,,5628.43,1.04,1.06
HD 49674 b,HD 49674,Radial Velocity,4.94737,0.058,,,,0.087,,,5662,,1.06
HD 49674 b,HD 49674,Radial Velocity,4.94737,0.06,,,,0.09,,,5602,1.02,1.03
HD 49674 b,HD 49674,Radial Velocity,4.948,0.0568,,,,0,,,,,1
HD 50499 b,HD 50499,Radial Velocity,2462,3.846,,,,0.348,,,5978.1,1.43,1.25
HD 50499 b,HD 50499,Radial Velocity,2447.1,3.833,,,,0.266,,,6102,1.35,1.25
HD 50499 b,HD 50499,Radial Velocity,2483.7,3.93,,,,0.27,,,6099,1.42,1.31
HD 50499 b,HD 50499,Radial Velocity,2453,,,,,0.334,,,,,1.28
HD 50499 b,HD 50499,Radial Velocity,2482.7,3.86,,,,0.23,,,,,1.24
HD 50499 c,HD 50499,Radial Velocity,8619.9,9.02,,,,0,,,6099,1.42,1.31
HD 50499 c,HD 50499,Radial Velocity,10400,10.1,,,,0.241,,,5978.1,1.43,1.25
HD 50554 b,HD 50554,Radial Velocity,1254.6,2.22,,,,0.51,,,5844,1.1,1.06
HD 50554 b,HD 50554,Radial Velocity,1222.8,2.265,,,,0.459,,,5968.36,1.15,1.04
HD 50554 b,HD 50554,Radial Velocity,1224,,,,,0.444,,,5929,,1.05
HD 50554 b,HD 50554,Radial Velocity,1293,2.353,,,,0.501,,,5987,1.02,1.04
HD 50554 b,HD 50554,Radial Velocity,1240,2.339,,1859.29618,,0.482,,61,6050,,1.1
HD 50554 b,HD 50554,Radial Velocity,1293,2.41,,,,0.501,,,6007,1.13,1.11
HD 51608 b,HD 51608,Radial Velocity,14.0726,0.1059,,,,0.09,,,5358,,0.8
HD 51608 c,HD 51608,Radial Velocity,95.9446,0.3809,,,,0.14,,,5358,,0.8
HD 52265 b,HD 52265,Radial Velocity,119.263,0.506,,,,0.213,,,6057.44,1.38,1.22
HD 52265 b,HD 52265,Radial Velocity,119.27,0.52,,,,0.27,,,6136,,1.2
HD 52265 b,HD 52265,Radial Velocity,119.6,0.5,,,,0.35,405,,6060,1.1,1.18
HD 52265 b,HD 52265,Radial Velocity,119.29,0.5,,,,0.32,,,6117,1.32,1.32
HD 52265 b,HD 52265,Radial Velocity,118.96,0.49,,,,0.29,,,,,1.13
HD 52265 b,HD 52265,Radial Velocity,119.29,0.504,,,,0.325,,,6076,,1.2
HD 5278 b,HD 5278,Transit,14.339156,0.1202,2.45,7.8,2.9,0.08,943,89.27,6203,1.19,1.13
HD 5278 b,HD 5278,Transit,14.339169,,,,,0.08,,89.27,6203,1.19,1.13
HD 5278 b,HD 5278,Transit,14.3392065,,2.314,,,,842,,6295.7,1.14,
HD 5278 c,HD 5278,Radial Velocity,40.87,0.2416,,,,0.07,,,6203,1.19,1.13
HD 5319 b,HD 5319,Radial Velocity,638.6,1.57,,,,0.015,,,4871,4.06,1.27
HD 5319 b,HD 5319,Radial Velocity,674.6,1.75,,,,0.12,,,5052,3.26,1.56
HD 5319 b,HD 5319,Radial Velocity,637.1,1.57,,,,0.092,,,4871,4.06,1.27
HD 5319 b,HD 5319,Radial Velocity,641,1.67,,,,0.02,,,4900,4.19,1.44
HD 5319 b,HD 5319,Radial Velocity,641,1.6697,,,,0.02,,,4958,3.85,1.51
HD 5319 c,HD 5319,Radial Velocity,886,2.071,,,,0.15,,,4958,3.85,1.51
HD 5319 c,HD 5319,Radial Velocity,877,1.94,,,,0.109,,,4871,4.06,1.27
HD 5319 c,HD 5319,Radial Velocity,872.2,1.93,,,,0.183,,,4871,4.06,1.27
HD 55696 b,HD 55696,Radial Velocity,1706,3.04,,1357.1273,,0.681,,57,6012,,1.29
HD 55696 b,HD 55696,Radial Velocity,1827,3.18,,,,0.705,,,6012,1.52,1.29
HD 5583 b,HD 5583,Radial Velocity,139.35,0.53,,,,0.076,,,4830,9.09,1.01
HD 5608 b,HD 5608,Radial Velocity,792.59998,1.99,,,,0.19,,,4929,5.09,1.98
HD 5608 b,HD 5608,Radial Velocity,792.6,1.9,,,,0.19,,,4854,5.5,1.55
HD 5608 b,HD 5608,Radial Velocity,768.7,1.79,,,,0.11,,,4807,5.43,1.29
HD 5608 b,HD 5608,Radial Velocity,779.9,1.911,,,,0.056,,,4877,5.14,1.53
HD 564 b,HD 564,Radial Velocity,492.3,1.2,,,,0.096,,,5902,1.01,0.96
HD 56414 b,HD 56414,Transit,29.04992,0.229,3.71,,,0.68,1133,89.3,8500,1.75,1.89
HD 56414 b,HD 56414,Transit,29.0497517,,2.847,,,,1115,,8208,1.8,
HD 56957 b,HD 56957,Radial Velocity,5859.08992,6.426,,1880.90851,,0.273,,170.006,,,1.03
HD 5891 b,HD 5891,Radial Velocity,177.11,0.64,,,,0.07,,,4673,10.64,1.93
HD 5891 b,HD 5891,Radial Velocity,177.11,0.76,,,,0.066,,,4907,8.7,1.91
HD 59686 A b,HD 59686 A,Radial Velocity,299.36,1.086,,,,0.05,,,4658,13.2,1.9
HD 60292 b,HD 60292,Radial Velocity,495.4,1.5,,,,0.27,,,4348,27,1.7
HD 60532 b,HD 60532,Radial Velocity,201.3,0.759,,,,0.28,,,6095,,1.44
HD 60532 b,HD 60532,Radial Velocity,201.9,0.77,,,,0.26,,,6245,2.57,1.5
HD 60532 c,HD 60532,Radial Velocity,604,1.58,,,,0.02,,,6095,,1.44
HD 60532 c,HD 60532,Radial Velocity,600.1,1.6,,,,0.03,,,6245,2.57,1.5
HD 62364 b,HD 62364,Radial Velocity,5172,6.4,,6038.73973,,0.61,,42,,,1.3
HD 62364 b,HD 62364,Radial Velocity,5138,6.15,,5965.6392,,0.607,,137.3,6255,1.4,1.16
HD 62364 b,HD 62364,Radial Velocity,5170.5,6.248,,5549.28399,,0.6092,,48.9,6255,,1.2
HD 62364 b,HD 62364,Radial Velocity,27399.80247,18.929,,5542.92742,,0.863,,66.463,,,1.19
HD 62364 c,HD 62364,Radial Velocity,74839.94555,36.984,,7923.46219,,0.773,,38.789,,,1.19
HD 62509 b,HD 62509,Radial Velocity,589.64,1.64,,,,0.02,,,4892.63,,
HD 62509 b,HD 62509,Radial Velocity,,1.61,,,,,,,,,2
HD 62509 b,HD 62509,Radial Velocity,589.7,1.69,,,,0.06,,,,8.9,1.7
HD 62509 b,HD 62509,Radial Velocity,596.6,1.66,,,,0.011,,,4858,,1.73
HD 62549 b,HD 62549,Radial Velocity,14306.88519,11.842,,2707.5802,,0.15,,162.313,,,1.08
HD 63433 b,HD 63433,Transit,7.107789,,,,,,,,5640,0.91,0.99
HD 63433 b,HD 63433,Transit,7.10793,0.0719,2.15,,,0,,89.38,5640,0.91,0.99
HD 63433 b,HD 63433,Transit,7.107939,,,,,,,89.38,5640,0.91,0.99
HD 63433 b,HD 63433,Transit,7.10791121,,2.243,,,,886,,5694.11,0.9,
HD 63433 b,HD 63433,Transit,7.1079379,0.0714,2.112,,,0.24,,88.49,5688,0.91,0.99
HD 63433 c,HD 63433,Transit,20.54381533,,2.573,,,,622,,5694.11,0.9,
HD 63433 c,HD 63433,Transit,20.543791,0.1448,2.521,,,0.21,,89.28,5688,0.91,0.99
HD 63433 c,HD 63433,Transit,20.5456,,2.71,,,,,,5710,0.93,0.99
HD 63433 c,HD 63433,Transit,20.543888,,,,,,,,5640,0.91,0.99
HD 63433 c,HD 63433,Transit,20.5453,0.1458,2.67,,,0,,89.147,5640,0.91,0.99
HD 63433 c,HD 63433,Transit,20.543806,,,,,,,89.147,5640,0.91,0.99
HD 63433 d,HD 63433,Transit,4.209075,0.0503,1.073,,,0.16,1040,88.73,5688,0.91,0.99
HD 63454 b,HD 63454,Radial Velocity,2.818049,0.0368,12.31,,,0,,,4840,1.05,0.84
HD 63454 b,HD 63454,Radial Velocity,2.817822,0.036,,,,0,,,4841,,0.8
HD 63454 b,HD 63454,Radial Velocity,2.81805,0.04,,,,0,,,4812,0.77,0.42
HD 63765 b,HD 63765,Radial Velocity,358,0.94,,,,0.24,,,5432,,0.86
HD 63765 b,HD 63765,Radial Velocity,358,0.94,,,,0.24,,,5449,0.83,0.65
HD 63935 b,HD 63935,Transit,9.058811,,2.99,10.8,2.2,0,911,88.49,5534,0.96,0.93
HD 63935 b,HD 63935,Transit,9.0588209,,2.676,,,,864,,5560.26,0.96,
HD 63935 c,HD 63935,Radial Velocity,21.4003129,,3.001,,,,622,,5560.26,0.96,
HD 63935 c,HD 63935,Radial Velocity,21.4023,,2.9,11.1,2.5,0,684,88.241,5534,0.96,0.93
HD 64114 b,HD 64114,Radial Velocity,45.791,0.246,,,,0.12,,,5676,,0.95
